Sector,Period,Equal_Weight_total_return,Equal_Weight_ann_return,Equal_Weight_ann_vol,Equal_Weight_sharpe,Equal_Weight_max_drawdown,Min_Variance_total_return,Min_Variance_ann_return,Min_Variance_ann_vol,Min_Variance_sharpe,Min_Variance_max_drawdown,Max_Sharpe_total_return,Max_Sharpe_ann_return,Max_Sharpe_ann_vol,Max_Sharpe_sharpe,Max_Sharpe_max_drawdown,Min_CVaR_total_return,Min_CVaR_ann_return,Min_CVaR_ann_vol,Min_CVaR_sharpe,Min_CVaR_max_drawdown
Technology,Pre-COVID Bull (2015-2019),2.7554,0.3535,0.2195,1.6105,-0.337,2.3514,0.3184,0.2089,1.5241,-0.2967,5.7454,0.5486,0.27,2.0322,-0.2978,1.9047,0.2797,0.2102,1.3302,-0.3576
Finance,Pre-COVID Bull (2015-2019),0.3299,0.0872,0.2169,0.4018,-0.3233,0.333,0.0835,0.1985,0.4207,-0.2729,0.6523,0.136,0.2089,0.6511,-0.241,0.4143,0.098,0.2028,0.4834,-0.2619
Healthcare,Pre-COVID Bull (2015-2019),0.813,0.1474,0.1564,0.9427,-0.1694,0.9877,0.1693,0.1536,1.1025,-0.1652,0.7057,0.1388,0.187,0.742,-0.2307,0.9054,0.1598,0.1584,1.0088,-0.2123
Energy,Pre-COVID Bull (2015-2019),-0.1891,-0.0213,0.2128,-0.0999,-0.3779,-0.1035,-0.0053,0.188,-0.0284,-0.2802,0.0521,0.0339,0.2127,0.1593,-0.3341,-0.0897,-0.0017,0.1901,-0.009,-0.2795
Consumer_Staples,Pre-COVID Bull (2015-2019),0.8631,0.1487,0.1237,1.2025,-0.1842,0.6787,0.1241,0.1257,0.9872,-0.1734,0.5841,0.1152,0.1562,0.7381,-0.1821,0.7398,0.133,0.1284,1.0358,-0.1566
REITs,Pre-COVID Bull (2015-2019),1.3045,0.2063,0.1535,1.3444,-0.1142,1.6104,0.2397,0.1602,1.4959,-0.1517,1.3283,0.2142,0.1798,1.1918,-0.1716,1.8251,0.2614,0.1649,1.5854,-0.1414
Technology,COVID Era (2020-2022),0.2544,0.1602,0.3717,0.431,-0.4958,0.4294,0.2024,0.3444,0.5878,-0.3546,0.3822,0.2101,0.3933,0.5342,-0.3803,0.1688,0.1232,0.3507,0.3512,-0.3773
Finance,COVID Era (2020-2022),0.1286,0.1228,0.3844,0.3195,-0.4916,0.0395,0.0883,0.3775,0.234,-0.4717,0.2453,0.1667,0.3942,0.4229,-0.4601,-0.0047,0.0709,0.375,0.1891,-0.4713
Healthcare,COVID Era (2020-2022),0.9301,0.293,0.2319,1.2633,-0.3061,0.7677,0.2567,0.2424,1.0591,-0.2994,0.4811,0.1889,0.2671,0.7071,-0.3558,0.7999,0.2676,0.2518,1.0625,-0.2954
Energy,COVID Era (2020-2022),0.4517,0.2944,0.5019,0.5866,-0.6429,0.2346,0.1797,0.4271,0.4208,-0.559,0.4467,0.2601,0.4513,0.5764,-0.5625,0.1307,0.1364,0.4116,0.3314,-0.564
Consumer_Staples,COVID Era (2020-2022),0.2752,0.1133,0.2108,0.5375,-0.2571,0.2747,0.1132,0.211,0.5364,-0.2539,0.1365,0.0736,0.2286,0.3219,-0.2805,0.1844,0.0851,0.2114,0.4027,-0.3184
REITs,COVID Era (2020-2022),0.1918,0.1078,0.285,0.3782,-0.361,0.2706,0.1278,0.2696,0.4742,-0.3348,0.055,0.0678,0.3058,0.2218,-0.3871,0.2225,0.1129,0.2702,0.4179,-0.3312
Technology,Post-COVID/AI Era (2022-2026),1.3814,0.2743,0.2963,0.9258,-0.475,0.9716,0.2119,0.2719,0.7794,-0.3373,3.0058,0.4653,0.3621,1.2853,-0.3606,1.1365,0.2365,0.2778,0.8513,-0.3579
Finance,Post-COVID/AI Era (2022-2026),1.4173,0.2632,0.2512,1.0478,-0.3149,1.403,0.2616,0.2516,1.0397,-0.3099,1.3096,0.2573,0.2731,0.9422,-0.345,1.0932,0.2238,0.2563,0.8734,-0.3236
Healthcare,Post-COVID/AI Era (2022-2026),0.5791,0.1261,0.1679,0.7508,-0.1704,0.6869,0.1426,0.1642,0.868,-0.1658,2.2945,0.3473,0.2245,1.5467,-0.1949,0.6062,0.13,0.1654,0.7861,-0.1633
Energy,Post-COVID/AI Era (2022-2026),1.0949,0.2322,0.2803,0.8283,-0.2761,0.9444,0.2032,0.2554,0.7957,-0.2682,0.7114,0.1745,0.2747,0.6354,-0.3061,0.9512,0.2038,0.254,0.8022,-0.2605
Consumer_Staples,Post-COVID/AI Era (2022-2026),0.4557,0.1023,0.1508,0.6785,-0.1919,0.5035,0.1105,0.1509,0.7325,-0.1833,0.7652,0.1596,0.1891,0.8444,-0.2395,0.4956,0.1096,0.1534,0.7144,-0.1974
REITs,Post-COVID/AI Era (2022-2026),0.1322,0.0506,0.2049,0.2472,-0.3115,0.0409,0.0272,0.1876,0.1448,-0.325,-0.1392,-0.0068,0.2349,-0.0287,-0.3995,0.0524,0.0303,0.1906,0.1592,-0.3174
Technology,Full Decade (2015-2026),18.7689,0.3613,0.2751,1.3131,-0.4958,12.9288,0.3136,0.2609,1.2022,-0.3584,55.4812,0.5217,0.3313,1.5744,-0.388,10.1418,0.2888,0.2653,1.0886,-0.3773
