N_steps,binomial_price,bs_price,diff_from_bs,ticker
1,6.53681,5.307731,1.229079,AAPL
5,5.551436,5.307731,0.243705,AAPL
10,5.246964,5.307731,0.060767,AAPL
25,5.352268,5.307731,0.044537,AAPL
50,5.30815,5.307731,0.000419,AAPL
100,5.311812,5.307731,0.004081,AAPL
200,5.311864,5.307731,0.004133,AAPL
500,5.310148,5.307731,0.002417,AAPL
1,5.934624,4.703116,1.231508,NVDA
5,4.945182,4.703116,0.242066,NVDA
10,4.656426,4.703116,0.04669,NVDA
25,4.745202,4.703116,0.042086,NVDA
50,4.708635,4.703116,0.005519,NVDA
100,4.71006,4.703116,0.006944,NVDA
200,4.708512,4.703116,0.005396,NVDA
500,4.705365,4.703116,0.002249,NVDA
1,7.243632,5.979667,1.263965,JNJ
5,6.224216,5.979667,0.244549,JNJ
10,5.951686,5.979667,0.027981,JNJ
25,6.017776,5.979667,0.038109,JNJ
50,5.991931,5.979667,0.012264,JNJ
100,5.989975,5.979667,0.010308,JNJ
200,5.985919,5.979667,0.006252,JNJ
500,5.980468,5.979667,0.000801,JNJ
