contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260803C00255000,255.0,67.45,76.45,80.2,0.8398453515625,2026-08-03,call,78.325,333.0199890136719,0.2480367173288849,AAPL,78.27137187297936,-0.053628127020644456,-0.06846872265642445
AAPL260803C00290000,290.0,32.52,41.75,44.85,0.7148466015625,2026-08-03,call,43.3,333.0199890136719,0.2480367173288849,AAPL,43.306074831364015,0.006074831364017541,0.014029633635144438
AAPL260803C00295000,295.0,37.97,37.05,40.35,0.5046436254882812,2026-08-03,call,38.7,333.0199890136719,0.2480367173288849,AAPL,38.312119381573666,-0.3878806184263368,-1.0022754998096557
AAPL260803C00297500,297.5,35.59,34.45,37.9,0.6682162084960939,2026-08-03,call,36.175,333.0199890136719,0.2480367173288849,AAPL,35.81637445054969,-0.3586255494503092,-0.9913629563242826
AAPL260803C00300000,300.0,33.58,32.6,35.25,0.6202430554199221,2026-08-03,call,33.925,333.0199890136719,0.2480367173288849,AAPL,33.322686815517045,-0.6023131844829521,-1.77542574644938
AAPL260803C00305000,305.0,29.29,27.5,30.9,0.6032754516601564,2026-08-03,call,29.2,333.0199890136719,0.2480367173288849,AAPL,28.350583907457633,-0.8494160925423664,-2.9089592210355018
AAPL260803C00307500,307.5,26.77,25.6,28.25,0.5554243676757813,2026-08-03,call,26.925,333.0199890136719,0.2480367173288849,AAPL,25.880841024803487,-1.0441589751965132,-3.878027763032547
AAPL260803C00310000,310.0,23.6,23.25,26.3,0.5579878186035157,2026-08-03,call,24.775,333.0199890136719,0.2480367173288849,AAPL,23.431901087824258,-1.3430989121757406,-5.421186325633666
AAPL260803C00312500,312.5,22.4,21.05,23.7,0.5129443237304687,2026-08-03,call,22.375,333.0199890136719,0.2480367173288849,AAPL,21.015406337377613,-1.3595936626223875,-6.076396257530224
AAPL260803C00315000,315.0,20.38,19.2,21.55,0.4968312036132813,2026-08-03,call,20.375,333.0199890136719,0.2480367173288849,AAPL,18.64699272202978,-1.728007277970221,-8.481017315191268
AAPL260803C00317500,317.5,18.1,16.8,19.4,0.4779104943847656,2026-08-03,call,18.1,333.0199890136719,0.2480367173288849,AAPL,16.346360029743096,-1.7536399702569057,-9.688618620203899
AAPL260803C00320000,320.0,16.15,14.8,17.45,0.4676566906738281,2026-08-03,call,16.125,333.0199890136719,0.2480367173288849,AAPL,14.136727805841815,-1.988272194158185,-12.33037019632983
AAPL260803C00322500,322.5,14.46,12.9,14.8,0.4154111193847656,2026-08-03,call,13.85,333.0199890136719,0.2480367173288849,AAPL,12.043579085001682,-1.8064209149983181,-13.04275028879652
AAPL260803C00325000,325.0,12.27,12.15,12.9,0.4017393811035156,2026-08-03,call,12.525,333.0199890136719,0.2480367173288849,AAPL,10.092741150134628,-2.432258849865372,-19.419232334254467
AAPL260803C00327500,327.5,10.62,10.5,11.5,0.4086973193359374,2026-08-03,call,11.0,333.0199890136719,0.2480367173288849,AAPL,8.308022061537713,-2.691977938462287,-24.47252671329352
AAPL260803C00330000,330.0,9.2,8.65,9.55,0.3828186718749999,2026-08-03,call,9.1,333.0199890136719,0.2480367173288849,AAPL,6.70876301928277,-2.3912369807172293,-26.277329458431094
AAPL260803C00332500,332.5,7.35,7.65,8.1,0.375982802734375,2026-08-03,call,7.875,333.0199890136719,0.2480367173288849,AAPL,5.307731001270213,-2.567268998729787,-32.60024125371158
AAPL260803C00335000,335.0,6.55,6.4,6.8,0.3703676245117187,2026-08-03,call,6.6,333.0199890136719,0.2480367173288849,AAPL,4.109736113729838,-2.490263886270162,-37.731271004093365
AAPL260803C00337500,337.5,5.46,5.3,5.7,0.3682924499511719,2026-08-03,call,5.5,333.0199890136719,0.2480367173288849,AAPL,3.111219697124511,-2.388780302875489,-43.432369143190705
AAPL260803C00340000,340.0,4.12,4.3,4.7,0.3648745153808594,2026-08-03,call,4.5,333.0199890136719,0.2480367173288849,AAPL,2.3008607890089365,-2.1991392109910635,-48.86976024424585
AAPL260803C00342500,342.5,3.7,3.5,3.85,0.3629214099121094,2026-08-03,call,3.675,333.0199890136719,0.2480367173288849,AAPL,1.6610467047821231,-2.0139532952178767,-54.80145021001025
AAPL260803C00345000,345.0,2.99,2.76,3.2,0.3656069299316406,2026-08-03,call,2.98,333.0199890136719,0.2480367173288849,AAPL,1.1699026237335346,-1.8100973762664654,-60.741522693505544
AAPL260803C00347500,347.5,2.26,2.17,2.54,0.3619448571777344,2026-08-03,call,2.355,333.0199890136719,0.2480367173288849,AAPL,0.8035091022461742,-1.5514908977538258,-65.88071752670173
AAPL260803C00350000,350.0,1.8,1.69,2.0,0.3592593371582031,2026-08-03,call,1.845,333.0199890136719,0.2480367173288849,AAPL,0.5379602648972224,-1.3070397351027776,-70.84226206519119
AAPL260803C00352500,352.5,1.37,1.29,1.63,0.3625552026367187,2026-08-03,call,1.46,333.0199890136719,0.2480367173288849,AAPL,0.3510078314104845,-1.1089921685895154,-75.95836771161065
AAPL260803C00355000,355.0,1.17,1.01,1.15,0.3505924316406249,2026-08-03,call,1.08,333.0199890136719,0.2480367173288849,AAPL,0.22316123611933847,-0.8568387638806616,-79.33692258154274
AAPL260803C00357500,357.5,1.0,0.75,1.01,0.3632876171875,2026-08-03,call,0.88,333.0199890136719,0.2480367173288849,AAPL,0.13823529831832815,-0.7417647016816719,-84.29144337291726
AAPL260803C00360000,360.0,0.69,0.57,0.8,0.3654848608398438,2026-08-03,call,0.685,333.0199890136719,0.2480367173288849,AAPL,0.08342780250854709,-0.601572197491453,-87.82075875787633
AAPL260803C00362500,362.5,0.51,0.43,0.65,0.3703676245117187,2026-08-03,call,0.54,333.0199890136719,0.2480367173288849,AAPL,0.04905850207860629,-0.49094149792139374,-90.91509220766551
AAPL260803C00365000,365.0,0.41,0.38,0.52,0.3737855590820312,2026-08-03,call,0.45,333.0199890136719,0.2480367173288849,AAPL,0.02811074298661831,-0.4218892570133817,-93.75316822519592
AAPL260803C00367500,367.5,0.11,0.21,0.42,0.3784241845703124,2026-08-03,call,0.315,333.0199890136719,0.2480367173288849,AAPL,0.015698117323835303,-0.2993018826761647,-95.01647069084594
AAPL260803C00370000,370.0,0.24,0.15,0.35,0.3847717773437499,2026-08-03,call,0.25,333.0199890136719,0.2480367173288849,AAPL,0.008545145855300196,-0.2414548541446998,-96.58194165787992
AAPL260803C00375000,375.0,0.09,0.09,0.25,0.399420068359375,2026-08-03,call,0.1699999999999999,333.0199890136719,0.2480367173288849,AAPL,0.0023471461289156226,-0.16765285387108428,-98.61932580652022
AAPL260803C00380000,380.0,0.15,0.03,0.19,0.4169980175781249,2026-08-03,call,0.11,333.0199890136719,0.2480367173288849,AAPL,0.0005837358502785717,-0.10941626414972143,-99.4693310452013
