contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,delta,gamma,theta,vega
AAPL260731C00120000,120.0,210.75,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,210.75,321.6600036621094,0.2458092609472378,1.0,0.0,-0.014782,0.0
AAPL260731C00125000,125.0,205.74,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,205.74,321.6600036621094,0.2458092609472378,1.0,0.0,-0.015398,0.0
AAPL260731C00130000,130.0,150.31,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,150.31,321.6600036621094,0.2458092609472378,1.0,0.0,-0.016014,0.0
AAPL260731C00135000,135.0,145.33,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,145.33,321.6600036621094,0.2458092609472378,1.0,0.0,-0.016629,0.0
AAPL260731C00145000,145.0,135.22,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,135.22,321.6600036621094,0.2458092609472378,1.0,0.0,-0.017861,0.0
AAPL260731C00150000,150.0,176.67,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,176.67,321.6600036621094,0.2458092609472378,1.0,0.0,-0.018477,0.0
AAPL260731C00155000,155.0,129.79,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,129.79,321.6600036621094,0.2458092609472378,1.0,0.0,-0.019093,0.0
AAPL260731C00160000,160.0,154.03,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,154.03,321.6600036621094,0.2458092609472378,1.0,0.0,-0.019709,0.0
AAPL260731C00165000,165.0,122.05,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,122.05,321.6600036621094,0.2458092609472378,1.0,0.0,-0.020325,0.0
AAPL260731C00170000,170.0,117.95,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,117.95,321.6600036621094,0.2458092609472378,1.0,0.0,-0.020941,0.0
AAPL260731C00175000,175.0,154.0,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,154.0,321.6600036621094,0.2458092609472378,1.0,0.0,-0.021557,0.0
AAPL260731C00180000,180.0,153.63,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,153.63,321.6600036621094,0.2458092609472378,1.0,0.0,-0.022173,0.0
AAPL260731C00185000,185.0,128.75,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,128.75,321.6600036621094,0.2458092609472378,1.0,0.0,-0.022789,0.0
AAPL260731C00190000,190.0,137.5,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,137.5,321.6600036621094,0.2458092609472378,1.0,0.0,-0.023404,0.0
AAPL260731C00195000,195.0,115.47,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,115.47,321.6600036621094,0.2458092609472378,1.0,0.0,-0.02402,0.0
AAPL260731C00200000,200.0,128.8,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,128.8,321.6600036621094,0.2458092609472378,1.0,0.0,-0.024636,0.0
AAPL260731C00205000,205.0,83.06,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,83.06,321.6600036621094,0.2458092609472378,1.0,0.0,-0.025252,0.0
AAPL260731C00210000,210.0,117.0,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,117.0,321.6600036621094,0.2458092609472378,1.0,0.0,-0.025868,0.0
AAPL260731C00215000,215.0,106.74,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,106.74,321.6600036621094,0.2458092609472378,1.0,0.0,-0.026484,0.0
AAPL260731C00220000,220.0,67.15,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,67.15,321.6600036621094,0.2458092609472378,1.0,0.0,-0.0271,0.0
AAPL260731C00225000,225.0,108.23,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,108.23,321.6600036621094,0.2458092609472378,1.0,0.0,-0.027716,0.0
AAPL260731C00230000,230.0,95.12,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,95.12,321.6600036621094,0.2458092609472378,1.0,0.0,-0.028332,0.0
AAPL260731C00235000,235.0,90.85,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,90.85,321.6600036621094,0.2458092609472378,1.0,0.0,-0.028948,0.0
AAPL260731C00240000,240.0,81.79,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,81.79,321.6600036621094,0.2458092609472378,1.0,0.0,-0.029564,0.0
AAPL260731C00245000,245.0,75.78,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,75.78,321.6600036621094,0.2458092609472378,1.0,0.0,-0.030179,0.0
AAPL260731C00250000,250.0,71.89,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,71.89,321.6600036621094,0.2458092609472378,1.0,0.0,-0.030795,0.0
AAPL260731C00255000,255.0,65.55,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,65.55,321.6600036621094,0.2458092609472378,1.0,0.0,-0.031411,0.0
AAPL260731C00260000,260.0,60.9,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,60.9,321.6600036621094,0.2458092609472378,1.0,0.0,-0.032027,0.0
AAPL260731C00265000,265.0,56.35,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,56.35,321.6600036621094,0.2458092609472378,1.0,0.0,-0.032643,0.0
AAPL260731C00270000,270.0,51.45,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,51.45,321.6600036621094,0.2458092609472378,1.0,0.0,-0.033259,0.0
AAPL260731C00275000,275.0,46.33,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,46.33,321.6600036621094,0.2458092609472378,0.999998,1e-06,-0.033881,4e-06
AAPL260731C00280000,280.0,41.46,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,41.46,321.6600036621094,0.2458092609472378,0.999981,8e-06,-0.034555,3.7e-05
AAPL260731C00282500,282.5,39.02,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,39.02,321.6600036621094,0.2458092609472378,0.999942,2.2e-05,-0.034981,0.000105
AAPL260731C00285000,285.0,36.6,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,36.6,321.6600036621094,0.2458092609472378,0.999839,5.6e-05,-0.035584,0.000275
AAPL260731C00287500,287.5,33.63,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,33.63,321.6600036621094,0.2458092609472378,0.999582,0.000138,-0.036576,0.000671
AAPL260731C00290000,290.0,32.05,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,32.05,321.6600036621094,0.2458092609472378,0.998986,0.000311,-0.038349,0.001519
AAPL260731C00292500,292.5,29.13,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,29.13,321.6600036621094,0.2458092609472378,0.997702,0.000657,-0.041563,0.003204
AAPL260731C00295000,295.0,27.0,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,27.0,321.6600036621094,0.2458092609472378,0.995117,0.001293,-0.047216,0.006307
AAPL260731C00297500,297.5,24.44,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,24.44,321.6600036621094,0.2458092609472378,0.990257,0.002379,-0.056632,0.011605
AAPL260731C00300000,300.0,22.47,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,22.47,321.6600036621094,0.2458092609472378,0.981704,0.0041,-0.071328,0.019996
AAPL260731C00302500,302.5,23.22,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,23.22,321.6600036621094,0.2458092609472378,0.96759,0.006624,-0.092689,0.03231
AAPL260731C00305000,305.0,17.9,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,17.9,321.6600036621094,0.2458092609472378,0.945721,0.010054,-0.121487,0.049038
AAPL260731C00307500,307.5,17.05,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,17.05,321.6600036621094,0.2458092609472378,0.913858,0.014354,-0.157334,0.070012
AAPL260731C00310000,310.0,14.2,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,14.2,321.6600036621094,0.2458092609472378,0.870136,0.019306,-0.19828,0.094165
AAPL260731C00312500,312.5,13.05,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,13.05,321.6600036621094,0.2458092609472378,0.813556,0.024496,-0.240739,0.119479
AAPL260731C00315000,315.0,11.3,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,11.3,321.6600036621094,0.2458092609472378,0.74441,0.029362,-0.279903,0.143212
AAPL260731C00317500,317.5,8.94,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,8.94,321.6600036621094,0.2458092609472378,0.664499,0.033291,-0.310601,0.162379
AAPL260731C00320000,320.0,8.26,0.0,0.0,1.0000000000000004e-05,2026-07-31,call,8.26,321.6600036621094,0.2458092609472378,0.577057,0.035753,-0.328399,0.174384
AAPL260731C00322500,322.5,7.05,0.0,0.0,0.0039162109375,2026-07-31,call,7.05,321.6600036621094,0.2458092609472378,0.486342,0.036413,-0.330617,0.177605
AAPL260731C00325000,325.0,5.8,0.0,0.0,0.01563484375,2026-07-31,call,5.8,321.6600036621094,0.2458092609472378,0.397012,0.035214,-0.316934,0.171754
AAPL260731C00327500,327.5,4.85,0.0,0.0,0.0312596875,2026-07-31,call,4.85,321.6600036621094,0.2458092609472378,0.313414,0.032373,-0.289397,0.157899
AAPL260731C00330000,330.0,3.75,0.0,0.0,0.0312596875,2026-07-31,call,3.75,321.6600036621094,0.2458092609472378,0.238978,0.028325,-0.251863,0.138157
AAPL260731C00332500,332.5,3.12,0.0,0.0,0.062509375,2026-07-31,call,3.12,321.6600036621094,0.2458092609472378,0.175849,0.023614,-0.209076,0.115179
AAPL260731C00335000,335.0,2.45,0.0,0.0,0.062509375,2026-07-31,call,2.45,321.6600036621094,0.2458092609472378,0.124794,0.018778,-0.165682,0.091592
AAPL260731C00337500,337.5,1.9,0.0,0.0,0.062509375,2026-07-31,call,1.9,321.6600036621094,0.2458092609472378,0.08538,0.014259,-0.125445,0.069548
AAPL260731C00340000,340.0,1.48,0.0,0.0,0.062509375,2026-07-31,call,1.48,321.6600036621094,0.2458092609472378,0.056305,0.010349,-0.09083,0.050479
AAPL260731C00342500,342.5,1.09,0.0,0.0,0.12500875,2026-07-31,call,1.09,321.6600036621094,0.2458092609472378,0.03579,0.007187,-0.062951,0.035056
AAPL260731C00345000,345.0,0.81,0.0,0.0,0.12500875,2026-07-31,call,0.81,321.6600036621094,0.2458092609472378,0.02193,0.00478,-0.041798,0.023317
AAPL260731C00347500,347.5,0.69,0.0,0.0,0.12500875,2026-07-31,call,0.69,321.6600036621094,0.2458092609472378,0.012956,0.003048,-0.026612,0.014868
AAPL260731C00350000,350.0,0.51,0.0,0.0,0.12500875,2026-07-31,call,0.51,321.6600036621094,0.2458092609472378,0.007382,0.001865,-0.016262,0.009097
AAPL260731C00352500,352.5,0.35,0.0,0.0,0.12500875,2026-07-31,call,0.35,321.6600036621094,0.2458092609472378,0.004058,0.001096,-0.009545,0.005346
AAPL260731C00355000,355.0,0.28,0.0,0.0,0.12500875,2026-07-31,call,0.28,321.6600036621094,0.2458092609472378,0.002153,0.000619,-0.005387,0.00302
AAPL260731C00357500,357.5,0.19,0.0,0.0,0.12500875,2026-07-31,call,0.19,321.6600036621094,0.2458092609472378,0.001103,0.000336,-0.002925,0.001641
AAPL260731C00360000,360.0,0.15,0.0,0.0,0.12500875,2026-07-31,call,0.15,321.6600036621094,0.2458092609472378,0.000546,0.000176,-0.001529,0.000859
AAPL260731C00362500,362.5,0.11,0.0,0.0,0.12500875,2026-07-31,call,0.11,321.6600036621094,0.2458092609472378,0.000261,8.9e-05,-0.000771,0.000433
AAPL260731C00365000,365.0,0.09,0.0,0.0,0.12500875,2026-07-31,call,0.09,321.6600036621094,0.2458092609472378,0.000121,4.3e-05,-0.000375,0.000211
AAPL260731C00367500,367.5,0.07,0.0,0.0,0.2500075,2026-07-31,call,0.07,321.6600036621094,0.2458092609472378,5.4e-05,2e-05,-0.000176,9.9e-05
AAPL260731C00370000,370.0,0.05,0.0,0.0,0.2500075,2026-07-31,call,0.05,321.6600036621094,0.2458092609472378,2.3e-05,9e-06,-8e-05,4.5e-05
AAPL260731C00372500,372.5,0.07,0.0,0.0,0.2500075,2026-07-31,call,0.07,321.6600036621094,0.2458092609472378,1e-05,4e-06,-3.5e-05,2e-05
AAPL260731C00375000,375.0,0.05,0.0,0.0,0.2500075,2026-07-31,call,0.05,321.6600036621094,0.2458092609472378,4e-06,2e-06,-1.5e-05,8e-06
AAPL260731C00380000,380.0,0.03,0.0,0.0,0.2500075,2026-07-31,call,0.03,321.6600036621094,0.2458092609472378,1e-06,0.0,-2e-06,1e-06
AAPL260731C00385000,385.0,0.01,0.0,0.0,0.2500075,2026-07-31,call,0.01,321.6600036621094,0.2458092609472378,0.0,0.0,-0.0,0.0
AAPL260731C00390000,390.0,0.01,0.0,0.0,0.2500075,2026-07-31,call,0.01,321.6600036621094,0.2458092609472378,0.0,0.0,-0.0,0.0
AAPL260731C00395000,395.0,0.01,0.0,0.0,0.2500075,2026-07-31,call,0.01,321.6600036621094,0.2458092609472378,0.0,0.0,-0.0,0.0
AAPL260731C00400000,400.0,0.01,0.0,0.0,0.2500075,2026-07-31,call,0.01,321.6600036621094,0.2458092609472378,0.0,0.0,-0.0,0.0
AAPL260803C00255000,255.0,67.45,0.0,0.0,1.0000000000000004e-05,2026-08-03,call,67.45,321.6600036621094,0.2458092609472378,1.0,0.0,-0.0314,0.0
