contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker
AAPL260803C00255000,255.0,67.45,76.45,80.2,0.8398453515625,2026-08-03,call,78.325,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00290000,290.0,32.52,41.75,44.85,0.7148466015625,2026-08-03,call,43.3,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00295000,295.0,37.97,37.05,40.35,0.5046436254882812,2026-08-03,call,38.7,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00297500,297.5,35.59,34.45,37.9,0.6682162084960939,2026-08-03,call,36.175,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00300000,300.0,33.58,32.6,35.25,0.6202430554199221,2026-08-03,call,33.925,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00305000,305.0,29.29,27.5,30.9,0.6032754516601564,2026-08-03,call,29.2,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00307500,307.5,26.77,25.6,28.25,0.5554243676757813,2026-08-03,call,26.925,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00310000,310.0,23.6,23.25,26.3,0.5579878186035157,2026-08-03,call,24.775,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00312500,312.5,22.4,21.05,23.7,0.5129443237304687,2026-08-03,call,22.375,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00315000,315.0,20.38,19.2,21.55,0.4968312036132813,2026-08-03,call,20.375,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00317500,317.5,18.1,16.8,19.4,0.4779104943847656,2026-08-03,call,18.1,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00320000,320.0,16.15,14.8,17.45,0.4676566906738281,2026-08-03,call,16.125,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00322500,322.5,14.46,12.9,14.8,0.4154111193847656,2026-08-03,call,13.850000000000001,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00325000,325.0,12.27,12.15,12.9,0.4017393811035156,2026-08-03,call,12.525,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00327500,327.5,10.62,10.5,11.5,0.40869731933593745,2026-08-03,call,11.0,333.0199890136719,0.24803671732888494,AAPL
AAPL260803C00330000,330.0,9.2,8.65,9.55,0.38281867187499996,2026-08-03,call,9.100000000000001,333.0199890136719,0.24803671732888494,AAPL
