Week,TV,Radio,InStore,NewspaperInserts,Website_Campaign,Base_Price,Discount,NewVolSales
1,162.2,62.6,123.6,56.6,134.3,94.25,5,658
2,115.6,79.7,94.6,25.6,95.7,99.56,5,671
3,194.4,50.0,107.9,45.2,150.0,104.7,20,720
4,208.9,36.3,83.2,33.9,185.4,104.33,20,744
5,99.8,40.7,95.6,35.7,83.8,101.06,5,719
6,132.0,45.5,79.6,42.8,71.4,104.43,0,693
7,194.9,102.6,124.6,49.3,180.2,102.45,10,780
8,182.3,43.6,73.0,34.9,193.4,106.0,20,762
9,198.7,76.8,124.2,56.0,130.0,101.45,0,765
10,169.0,41.9,101.8,22.9,96.0,98.22,0,731
11,241.3,78.6,137.3,40.1,153.7,101.68,0,789
12,239.4,67.7,127.9,79.0,148.9,85.35,0,800
13,212.2,56.9,155.3,43.3,157.9,101.91,5,799
14,255.1,59.2,128.3,61.5,154.6,81.76,0,863
15,228.3,46.9,70.5,41.4,157.5,91.38,10,792
16,173.9,68.9,107.5,48.7,151.0,102.26,10,818
17,220.9,50.9,78.8,39.1,138.1,102.39,10,783
18,164.8,35.5,93.6,37.4,161.8,94.19,0,786
19,234.5,34.4,142.5,28.3,217.0,96.44,0,775
20,192.9,63.5,118.4,46.5,150.1,106.85,10,769
21,182.4,91.6,82.4,27.2,125.4,97.58,10,788
22,156.8,63.2,71.7,50.0,115.7,111.21,0,722
23,226.8,57.6,94.8,56.3,172.7,99.99,15,825
24,165.1,65.7,60.2,45.5,97.7,102.04,0,746
25,147.2,86.1,70.4,35.7,138.1,108.08,15,740
26,143.1,64.4,91.4,46.8,121.5,100.66,0,762
27,171.3,51.8,108.9,35.4,166.0,94.99,0,786
28,157.4,82.1,91.6,54.0,105.4,99.45,5,765
29,152.2,68.6,15.5,12.5,149.8,99.82,0,722
30,146.0,90.7,77.0,35.0,93.1,93.18,0,736
31,207.8,63.7,67.9,10.1,147.8,98.72,0,713
32,99.7,35.5,73.3,17.6,94.0,96.29,0,698
33,89.7,32.6,100.5,60.5,72.2,104.62,10,691
34,72.5,93.0,6.0,53.4,78.7,100.17,0,674
35,125.3,94.5,40.5,29.2,119.4,98.59,5,695
36,142.0,56.4,68.2,17.5,102.5,99.47,10,710
37,89.3,52.3,12.4,4.5,45.0,101.12,0,575
38,58.1,89.2,87.8,31.8,73.7,103.08,0,631
39,57.5,37.9,59.4,76.3,54.9,95.0,15,721
40,116.0,42.1,71.2,46.5,75.8,94.79,10,690
41,120.2,72.9,35.9,31.6,89.6,105.52,5,667
42,113.5,52.1,71.2,47.0,72.3,97.94,10,682
43,67.3,59.9,78.7,16.6,30.1,92.92,0,708
44,106.2,56.7,59.3,35.5,80.8,102.22,0,679
45,105.3,66.8,61.2,41.5,62.6,102.32,10,700
46,113.8,88.1,64.3,38.7,48.7,92.35,0,734
47,145.1,61.8,38.5,51.9,126.9,101.15,10,725
48,124.9,72.9,59.3,45.2,107.7,103.68,5,688
49,149.3,19.0,62.2,50.0,111.3,101.87,10,687
50,131.4,59.0,78.9,29.7,53.9,103.16,0,672
51,147.2,43.1,97.8,53.5,137.5,92.98,0,747
52,168.0,35.6,49.9,64.4,148.7,101.66,0,698
53,91.7,42.4,76.9,25.4,135.4,98.49,0,702
54,144.4,53.3,120.7,26.7,124.3,97.59,10,766
55,145.5,78.3,68.6,60.0,121.7,104.35,0,707
56,145.7,33.5,70.1,37.1,110.1,107.4,0,723
57,166.9,60.6,99.0,61.1,146.2,108.97,0,699
58,243.9,50.3,118.2,33.4,191.8,106.57,0,766
59,155.2,53.4,100.2,61.8,174.7,99.45,10,789
60,233.6,80.1,135.7,42.0,148.1,101.76,0,779
61,132.1,70.8,126.1,43.9,132.6,103.83,20,767
62,189.7,86.7,127.6,63.5,136.8,100.61,0,749
63,212.6,56.9,121.9,34.6,190.4,100.65,5,791
64,231.7,46.1,167.3,25.9,194.9,104.12,0,763
65,238.0,55.5,104.7,33.3,158.8,99.7,0,769
66,241.7,64.8,59.9,46.8,163.4,96.35,15,778
67,195.6,63.5,149.9,16.5,188.5,97.93,20,802
68,189.8,38.3,97.7,49.6,150.9,103.17,15,760
